Generation, Error_er(w)
1,1.684366
2,1.483776
3,1.365782
4,1.365782
5,1.271386
6,1.271386
7,1.271386
8,1.271386
9,1.271386
10,1.271386
11,1.271386
12,1.271386
13,1.271386
14,1.271386
15,1.271386
16,1.271386
17,1.271386
18,1.271386
19,1.271386
20,1.271386
21,1.271386
22,1.271386
23,1.271386
24,1.271386
25,1.271386
26,1.271386
27,1.271386
28,1.271386
29,1.271386
30,1.271386
31,1.271386
32,1.271386
33,1.271386
34,1.271386
35,1.271386
36,1.271386
37,1.271386
38,1.271386
39,1.271386
40,1.271386
41,1.271386
42,1.271386
43,1.271386
44,1.271386
45,1.271386
46,1.271386
47,1.271386
48,1.271386
49,1.271386
50,1.271386
